dia,variante,asignados,expuestos,activados,errores,p90_carga_min,cancelaciones_7d
1,A,200,198,39,1,12.1,8
1,B,200,196,42,1,12.6,9
2,A,200,198,41,1,12.0,8
2,B,200,196,44,1,12.8,9
3,A,200,197,38,1,12.2,8
3,B,200,195,43,1,12.9,9
4,A,200,197,40,1,12.1,9
4,B,200,196,42,1,12.7,9
5,A,200,198,39,1,12.0,8
5,B,200,196,41,1,12.8,9
6,A,200,197,41,1,12.3,9
6,B,200,196,43,1,12.9,9
7,A,200,197,38,1,12.2,8
7,B,200,196,42,1,12.8,9
8,A,200,198,40,1,12.1,8
8,B,200,196,43,1,12.7,9
9,A,200,197,39,1,12.4,9
9,B,200,196,42,1,13.0,9
10,A,200,197,40,1,12.2,8
10,B,200,196,43,1,12.9,9
11,A,200,197,39,1,12.1,8
11,B,200,196,42,1,12.8,9
12,A,200,197,41,1,12.2,9
12,B,200,196,43,1,12.9,9
13,A,200,197,38,1,12.3,8
13,B,200,196,42,1,12.8,9
14,A,200,197,39,1,12.1,9
14,B,200,196,42,1,12.7,9
