cuenta_id,corte,sesiones_7d,dias_desde_ultima_sesion,factura_impagada,tickets_30d,churn_30d
Aster,2026-01-05,1,8,1,4,1
Borea,2026-01-05,17,0,0,0,0
Cobalto,2026-01-05,3,5,0,3,1
Delta,2026-01-05,14,1,0,1,0
Eolo,2026-01-05,0,14,1,2,1
Faro,2026-01-05,9,2,0,0,0
Gala,2026-01-05,2,7,0,4,1
Hiedra,2026-01-05,12,0,0,1,0
Iris,2026-01-05,4,4,1,1,1
Juno,2026-01-05,19,0,0,0,0
Kora,2026-01-05,6,3,0,2,0
Lima,2026-01-05,1,10,0,1,1
Marea,2026-01-05,11,1,0,0,0
Norte,2026-01-05,3,6,0,0,0
Onda,2026-01-05,0,12,1,5,1
Pino,2026-01-05,15,0,0,0,0
Quilla,2026-01-05,5,4,0,2,0
Roca,2026-01-05,2,9,1,3,1
Senda,2026-01-05,10,1,0,0,0
Tilo,2026-01-05,7,2,0,1,0
