fecha,plataforma,canal,visitas,compras
2025-04-28,web,organico,1200,66
2025-04-28,web,ads,800,36
2025-04-28,android,organico,900,46
2025-04-28,android,ads,600,29
2025-04-29,web,organico,1180,63
2025-04-29,web,ads,820,38
2025-04-29,android,organico,910,45
2025-04-29,android,ads,620,30
2025-04-30,web,organico,1210,66
2025-04-30,web,ads,790,35
2025-04-30,android,organico,920,46
2025-04-30,android,ads,610,29
2025-05-01,web,organico,1190,65
2025-05-01,web,ads,810,37
2025-05-01,android,organico,880,44
2025-05-01,android,ads,590,28
2025-05-02,web,organico,1220,67
2025-05-02,web,ads,830,39
2025-05-02,android,organico,930,47
2025-05-02,android,ads,630,31
2025-05-05,web,organico,1210,66
2025-05-05,web,ads,810,37
2025-05-05,android,organico,980,39
2025-05-05,android,ads,700,22
2025-05-06,web,organico,1190,64
2025-05-06,web,ads,790,36
2025-05-06,android,organico,960,37
2025-05-06,android,ads,680,20
2025-05-07,web,organico,1220,67
2025-05-07,web,ads,820,38
2025-05-07,android,organico,970,38
2025-05-07,android,ads,690,21
2025-05-08,web,organico,1200,65
2025-05-08,web,ads,800,37
2025-05-08,android,organico,950,36
2025-05-08,android,ads,720,0
2025-05-09,web,organico,1180,63
2025-05-09,web,ads,780,35
2025-05-09,android,organico,940,36
2025-05-09,android,ads,710,20
2025-05-10,web,organico,1170,62
2025-05-10,web,ads,770,34
2025-05-10,android,organico,930,35
2025-05-10,android,ads,700,19
2025-05-11,web,organico,1160,62
2025-05-11,web,ads,760,34
2025-05-11,android,organico,920,35
2025-05-11,android,ads,690,19
